x,y,pmi,count
jessica,lorenzo,2.3767812703354534,10
salisbury,bigot,2.375757539163696,5
bigot,salisbury,2.375757539163696,5
lieutenant,montano,2.3750145201939152,6
montano,lieutenant,2.3750145201939152,6
eglamour,silvia,2.3703992325302274,6
silvia,eglamour,2.3703992325302274,6
monster,stephano,2.369482031593954,14
stephano,monster,2.369482031593954,14
lock,doors,2.3682621024718546,6
doors,lock,2.3682621024718546,6
alexas,charmian,2.3681750956636094,7
charmian,alexas,2.3681750956636094,7
charles,alencon,2.3633237082308005,13
alencon,charles,2.3633237082308005,13
bottom,quince,2.362889630751482,12
quince,bottom,2.362889630751482,12
percy,hotspur,2.362573895018271,5
hotspur,percy,2.362573895018271,5
trinculo,monster,2.3623034469668305,10
monster,trinculo,2.3623034469668305,10
ferdinand,miranda,2.3599025696976197,7
miranda,ferdinand,2.3599025696976197,7
every,raineth,2.357731412053405,5
raineth,every,2.357731412053405,5
thomas,mowbray,2.3572857532334837,10
mowbray,thomas,2.3572857532334837,10
pole,william,2.3568405512653285,5
william,pole,2.3568405512653285,5
william,stafford,2.3568405512653285,7
stafford,william,2.3568405512653285,7
wond,red,2.3565440032975733,9
red,wond,2.3565440032975733,9
shines,moon,2.3556185938660206,8
moon,shines,2.3556185938660206,8
en,e,2.3530935545277525,35
e,en,2.3530935545277525,35
knee,bend,2.35065517433447,6
bend,knee,2.35065517433447,6
fourth,citizen,2.3469308539050155,19
citizen,fourth,2.3469308539050155,19
ephesus,dromio,2.3438870027430383,71
dromio,ephesus,2.3438870027430383,71
cinna,casca,2.342829836822514,5
lennox,ross,2.342829836822514,5
casca,cinna,2.342829836822514,5
ross,lennox,2.342829836822514,5
beaufort,cardinal,2.3411098564282398,7
cardinal,beaufort,2.3411098564282398,7
wand,ring,2.3397020935038495,14
ring,wand,2.3397020935038495,14
rugby,jack,2.327589870265777,5
jack,rugby,2.327589870265777,5
cut,throats,2.3251010698620824,9
throats,cut,2.3251010698620824,9
le,katherine,2.323920921087226,7
katherine,le,2.323920921087226,7
invisible,ariel,2.3227909873840082,5
ariel,invisible,2.3227909873840082,5
britain,cymbeline,2.32098450366725,12
cymbeline,britain,2.32098450366725,12
peter,quince,2.3158930680752583,8
quince,peter,2.3158930680752583,8
william,lucy,2.3154478661071036,5
lucy,william,2.3154478661071036,5
cross,garter,2.3149396220679357,7
garter,cross,2.3149396220679357,7
mercutio,romeo,2.314017063076503,7
romeo,mercutio,2.314017063076503,7
several,doors,2.3094841019186685,9
doors,several,2.3094841019186685,9
